C,tree-sitter-cli
G,neovim
Y,alacritty
Y,appimagelauncher
Y,aseprite
Y,awesome
Y,bat
Y,blender
Y,byobu
Y,cantarell-fonts
Y,chromium
Y,composer
Y,cups
Y,discord
Y,exa
Y,exfatprogs
Y,fd
Y,feh
Y,ffmpeg
Y,firefox
Y,fish
Y,flameshot
Y,fzf
Y,go
Y,godot
Y,htop
Y,hugo
Y,imagemagick
Y,inkscape
Y,jdk17
Y,julia
Y,keepassxc
Y,krita
Y,libreoffice-still
Y,love
Y,lua
Y,luarocks
Y,ncdu
Y,neofetch
Y,neovim
Y,neovim-qt
Y,nodejs
Y,npm
Y,ntfs-3g
Y,obs-studio
Y,perl
Y,php
Y,picom-git
Y,playerctl
Y,pynvim
Y,python
Y,python-pip
Y,qbittorrent
Y,ranger
Y,ripgrep
Y,rofi
Y,ruby
Y,rust
Y,starship
Y,thunderbird
Y,tiled
Y,timidity++
Y,tree
Y,ttf-google-fonts-typewolf
Y,ttf-mononoki-nerd
Y,turtl
Y,vivaldi-stable
Y,vlc
Y,xclip
Y,yt-dlp
